Near_Miss_ID,Date,Refinery_Unit,Equipment_ID,Work_Type,Department,Near_Miss_Description,PPE_NonCompliance,Supervisor_Negligence,Maintenance_Delay_or_Issue,Repeated_Issue_Ignored,Previous_Similar_Reports,Immediate_Cause,Potential_Consequence,Risk_Level,Corrective_Action,Action_Status,High_Potential_Near_Miss,source_sheet
01_R-008,2026-09-02,Utilities,FCC-LINE-08,Material Handling,Mechanical Maintenance,Poor lighting had been reported repeatedly,False,False,False,True,3,Equipment degradation,Minor injury,Medium,Complete overdue inspection,In Progress,0,01_Repeated_Issue_Ignored
01_R-009,2024-09-15,Maintenance Area,E-101,Confined Space,HSE,Emergency shower low pressure had been reported repeatedly,False,False,False,True,3,Procedure not followed,Hydrocarbon release,Low,Increase supervisory monitoring,Overdue,0,01_Repeated_Issue_Ignored
01_R-010,2025-07-10,Hydrogen Unit,FCC-LINE-08,Work at Height,Mechanical Maintenance,Loose flange had been reported during two previous rounds,False,False,False,True,4,Equipment degradation,Minor injury,Low,Escalate recurring issue to HSE and management,Open,0,01_Repeated_Issue_Ignored
01_R-011,2025-07-30,VDU,C-204,Inspection,HSE,Loose flange had been reported during two previous rounds,False,False,False,True,3,Equipment degradation,Minor injury,Low,Escalate recurring issue to HSE and management,In Progress,0,01_Repeated_Issue_Ignored
01_R-012,2025-04-01,CDU,E-101,Preventive Maintenance,Electrical Maintenance,Emergency shower low pressure had been reported repeatedly,False,False,False,True,3,Deferred maintenance,Fire,Medium,Stop work and enforce PPE,Open,0,01_Repeated_Issue_Ignored
01_R-013,2026-05-01,Hydrogen Unit,E-207,Material Handling,Electrical Maintenance,Loose flange had been reported during two previous rounds,False,False,False,True,2,Deferred maintenance,Hydrocarbon release,Medium,Stop work and enforce PPE,Overdue,0,01_Repeated_Issue_Ignored
01_R-014,2026-01-09,VDU,P-101,Work at Height,Contractor,Loose flange had been reported during two previous rounds,False,False,False,True,0,Unsafe act,Minor injury,Medium,Implement permanent corrective action,In Progress,0,01_Repeated_Issue_Ignored
01_R-015,2026-08-10,Loading Bay,V-215,Material Handling,Mechanical Maintenance,Bearing temperature had repeatedly been reported as abnormal,False,False,False,True,1,Corrective action not closed,Fire,Medium,Review permit and JSA,In Progress,0,01_Repeated_Issue_Ignored
01_R-016,2024-07-09,Maintenance Area,V-215,Confined Space,Operations,Emergency shower low pressure had been reported repeatedly,False,False,False,True,0,Equipment degradation,Hydrocarbon release,Medium,Repair/replace defective equipment,In Progress,0,01_Repeated_Issue_Ignored
01_R-017,2024-10-12,Sulfur Recovery Unit,C-102,Material Handling,Operations,Valve leakage had repeatedly been treated only with temporary packing adjustment,False,False,False,True,0,Inadequate supervision,Fire,Medium,Implement permanent corrective action,Overdue,0,01_Repeated_Issue_Ignored
01_R-018,2025-06-24,VDU,V-110,Work at Height,Instrumentation,Valve leakage had repeatedly been treated only with temporary packing adjustment,False,False,False,True,3,Procedure not followed,Equipment damage,High,Repair/replace defective equipment,Closed,0,01_Repeated_Issue_Ignored
01_R-019,2026-07-29,Hydrotreating Unit,P-204,Breakdown Maintenance,Electrical Maintenance,Gas detector abnormal readings had generated repeated reports,False,False,False,True,2,Equipment degradation,Lost-time injury,Low,Repair/replace defective equipment,Overdue,0,01_Repeated_Issue_Ignored
01_R-020,2025-03-04,Tank Farm,FCC-LINE-08,Breakdown Maintenance,HSE,Valve leakage had repeatedly been treated only with temporary packing adjustment,False,False,False,True,3,Unsafe condition,Lost-time injury,High,Review permit and JSA,Closed,0,01_Repeated_Issue_Ignored
01_R-021,2024-05-23,CDU,E-101,Breakdown Maintenance,Mechanical Maintenance,Loose flange had been reported during two previous rounds,False,False,False,True,3,Corrective action not closed,Fire,Low,Review permit and JSA,Overdue,0,01_Repeated_Issue_Ignored
01_R-022,2025-02-22,VDU,CDU-LINE-14,Routine Operation,Mechanical Maintenance,Emergency shower low pressure had been reported repeatedly,False,False,False,True,3,Inadequate supervision,Lost-time injury,High,Stop work and enforce PPE,Closed,0,01_Repeated_Issue_Ignored
01_R-023,2024-08-18,Loading Bay,P-204,Preventive Maintenance,Electrical Maintenance,Gas detector abnormal readings had generated repeated reports,False,False,False,True,3,Corrective action not closed,Equipment damage,High,Escalate recurring issue to HSE and management,Closed,0,01_Repeated_Issue_Ignored
01_R-024,2025-07-09,VDU,TK-302,Inspection,Electrical Maintenance,Oil accumulation near pump had generated repeated housekeeping complaints,False,False,False,True,4,Corrective action not closed,Hydrocarbon release,Medium,Stop work and enforce PPE,Overdue,0,01_Repeated_Issue_Ignored
01_R-025,2024-09-26,Hydrogen Unit,PSV-114,Work at Height,Contractor,Compressor abnormal vibration had been reported three times,False,False,False,True,3,Procedure not followed,Lost-time injury,Low,Implement permanent corrective action,Overdue,0,01_Repeated_Issue_Ignored
01_R-026,2024-06-18,Sulfur Recovery Unit,E-207,Hot Work,HSE,Poor lighting had been reported repeatedly,False,False,False,True,1,Procedure not followed,Equipment damage,Low,Repair/replace defective equipment,Closed,0,01_Repeated_Issue_Ignored
01_R-027,2025-12-21,VDU,P-305,Confined Space,Operations,Pipeline corrosion had appeared in two previous inspections,False,False,False,True,4,Inadequate supervision,Equipment damage,Medium,Increase supervisory monitoring,In Progress,0,01_Repeated_Issue_Ignored
01_R-028,2025-12-19,Utilities,E-101,Breakdown Maintenance,HSE,Poor lighting had been reported repeatedly,False,False,False,True,1,Equipment degradation,Lost-time injury,Medium,Complete overdue inspection,Overdue,0,01_Repeated_Issue_Ignored
01_R-029,2025-01-19,Hydrotreating Unit,TK-302,Work at Height,Instrumentation,Compressor abnormal vibration had been reported three times,False,False,False,True,0,Deferred maintenance,Equipment damage,High,Complete overdue inspection,Open,0,01_Repeated_Issue_Ignored
01_R-030,2026-06-08,Utilities,C-102,Confined Space,Mechanical Maintenance,Oil accumulation near pump had generated repeated housekeeping complaints,False,False,False,True,2,Deferred maintenance,Equipment damage,Low,Complete overdue inspection,Closed,0,01_Repeated_Issue_Ignored
01_R-031,2026-04-28,Tank Farm,PSV-114,Work at Height,Contractor,Loose flange had been reported during two previous rounds,False,False,False,True,4,Corrective action not closed,Equipment damage,Medium,Stop work and enforce PPE,Open,0,01_Repeated_Issue_Ignored
01_R-032,2024-04-11,Tank Farm,P-101,Confined Space,Mechanical Maintenance,Pump leakage had been reported twice previously,False,False,False,True,0,Equipment degradation,Hydrocarbon release,Medium,Repair/replace defective equipment,Closed,0,01_Repeated_Issue_Ignored
01_R-033,2024-06-11,Sulfur Recovery Unit,FCC-LINE-08,Breakdown Maintenance,Operations,Compressor abnormal vibration had been reported three times,False,False,False,True,2,Deferred maintenance,Minor injury,Medium,Implement permanent corrective action,Closed,0,01_Repeated_Issue_Ignored
01_R-034,2026-01-13,Hydrogen Unit,E-101,Preventive Maintenance,Mechanical Maintenance,Emergency shower low pressure had been reported repeatedly,False,False,False,True,0,Procedure not followed,Minor injury,Low,Repair/replace defective equipment,Overdue,0,01_Repeated_Issue_Ignored
01_R-035,2024-01-10,Tank Farm,P-204,Inspection,Instrumentation,Loose flange had been reported during two previous rounds,False,False,False,True,0,Unsafe act,Lost-time injury,High,Implement permanent corrective action,Open,0,01_Repeated_Issue_Ignored
01_R-036,2024-04-15,FCC,FCC-LINE-08,Breakdown Maintenance,Operations,Loose flange had been reported during two previous rounds,False,False,False,True,2,Procedure not followed,Hydrocarbon release,Medium,Escalate recurring issue to HSE and management,Open,0,01_Repeated_Issue_Ignored
01_R-037,2025-09-16,Utilities,CDU-LINE-14,Material Handling,Mechanical Maintenance,Oil accumulation near pump had generated repeated housekeeping complaints,False,False,False,True,2,Unsafe act,Lost-time injury,Medium,Stop work and enforce PPE,In Progress,0,01_Repeated_Issue_Ignored
01_R-038,2026-02-09,Sulfur Recovery Unit,PSV-114,Breakdown Maintenance,Mechanical Maintenance,Valve leakage had repeatedly been treated only with temporary packing adjustment,False,False,False,True,3,Inadequate supervision,Hydrocarbon release,Medium,Implement permanent corrective action,Open,0,01_Repeated_Issue_Ignored
01_R-039,2024-09-11,Maintenance Area,E-207,Inspection,Contractor,Pump leakage had been reported twice previously,False,False,False,True,2,Deferred maintenance,Equipment damage,Medium,Complete overdue inspection,Open,0,01_Repeated_Issue_Ignored
01_R-040,2026-03-13,Tank Farm,FCC-LINE-08,Preventive Maintenance,HSE,Oil accumulation near pump had generated repeated housekeeping complaints,False,False,False,True,3,Unsafe act,Lost-time injury,Low,Complete overdue inspection,Closed,0,01_Repeated_Issue_Ignored
01_R-041,2024-05-15,FCC,PSV-114,Material Handling,Operations,Valve leakage had repeatedly been treated only with temporary packing adjustment,False,False,False,True,3,Unsafe act,Equipment damage,Medium,Escalate recurring issue to HSE and management,Open,0,01_Repeated_Issue_Ignored
01_R-042,2024-01-15,Loading Bay,C-204,Confined Space,Instrumentation,Poor lighting had been reported repeatedly,False,False,False,True,0,Equipment degradation,Hydrocarbon release,Low,Review permit and JSA,Open,0,01_Repeated_Issue_Ignored
01_R-043,2025-10-17,Loading Bay,C-102,Breakdown Maintenance,HSE,Pipeline corrosion had appeared in two previous inspections,False,False,False,True,0,Inadequate supervision,Minor injury,Medium,Review permit and JSA,Open,0,01_Repeated_Issue_Ignored
01_R-044,2024-11-13,Utilities,P-204,Material Handling,HSE,Poor lighting had been reported repeatedly,False,False,False,True,0,Procedure not followed,Minor injury,Medium,Stop work and enforce PPE,Closed,0,01_Repeated_Issue_Ignored
01_R-045,2025-11-13,FCC,E-101,Work at Height,HSE,Compressor abnormal vibration had been reported three times,False,False,False,True,0,Procedure not followed,Minor injury,Medium,Increase supervisory monitoring,Closed,0,01_Repeated_Issue_Ignored
01_R-046,2024-06-19,Sulfur Recovery Unit,PSV-114,Confined Space,Electrical Maintenance,Gas detector abnormal readings had generated repeated reports,False,False,False,True,2,Procedure not followed,Minor injury,Low,Stop work and enforce PPE,Closed,0,01_Repeated_Issue_Ignored
01_R-047,2025-12-30,Tank Farm,GD-22,Breakdown Maintenance,Electrical Maintenance,Oil accumulation near pump had generated repeated housekeeping complaints,False,False,False,True,3,Unsafe condition,Minor injury,Medium,Complete overdue inspection,Open,0,01_Repeated_Issue_Ignored
01_R-048,2026-07-04,CDU,C-102,Routine Operation,Instrumentation,Poor lighting had been reported repeatedly,False,False,False,True,4,Inadequate supervision,Minor injury,Low,Review permit and JSA,In Progress,0,01_Repeated_Issue_Ignored
01_R-049,2024-07-02,Hydrogen Unit,V-215,Work at Height,Electrical Maintenance,Bearing temperature had repeatedly been reported as abnormal,False,False,False,True,3,Corrective action not closed,Fire,Medium,Stop work and enforce PPE,Closed,0,01_Repeated_Issue_Ignored
01_R-050,2024-05-02,VDU,E-101,Hot Work,Electrical Maintenance,Gas detector abnormal readings had generated repeated reports,False,False,False,True,1,Inadequate supervision,Hydrocarbon release,Low,Stop work and enforce PPE,Overdue,0,01_Repeated_Issue_Ignored
01_R-051,2024-01-09,Hydrogen Unit,E-101,Work at Height,HSE,Poor lighting had been reported repeatedly,False,False,False,True,2,Deferred maintenance,Equipment damage,Medium,Increase supervisory monitoring,In Progress,0,01_Repeated_Issue_Ignored
01_R-052,2026-01-20,Hydrogen Unit,E-207,Work at Height,Contractor,Gas detector abnormal readings had generated repeated reports,False,False,False,True,0,Corrective action not closed,Minor injury,High,Implement permanent corrective action,Open,0,01_Repeated_Issue_Ignored
01_R-053,2026-08-31,Hydrogen Unit,E-207,Inspection,Instrumentation,Pump leakage had been reported twice previously,False,False,False,True,3,Deferred maintenance,Minor injury,Medium,Stop work and enforce PPE,In Progress,0,01_Repeated_Issue_Ignored
01_R-054,2025-12-29,Utilities,TK-302,Work at Height,Instrumentation,Compressor abnormal vibration had been reported three times,False,False,False,True,0,Equipment degradation,Equipment damage,Medium,Stop work and enforce PPE,Open,0,01_Repeated_Issue_Ignored
01_R-055,2025-06-01,FCC,C-102,Hot Work,Electrical Maintenance,Emergency shower low pressure had been reported repeatedly,False,False,False,True,0,Corrective action not closed,Hydrocarbon release,Low,Complete overdue inspection,Overdue,0,01_Repeated_Issue_Ignored
01_R-056,2025-12-18,VDU,C-102,Breakdown Maintenance,HSE,Loose flange had been reported during two previous rounds,False,False,False,True,3,Unsafe act,Lost-time injury,Medium,Repair/replace defective equipment,Open,0,01_Repeated_Issue_Ignored
01_R-057,2024-06-17,Loading Bay,V-110,Inspection,Instrumentation,Oil accumulation near pump had generated repeated housekeeping complaints,False,False,False,True,2,Inadequate supervision,Minor injury,High,Review permit and JSA,Closed,0,01_Repeated_Issue_Ignored
01_R-058,2026-05-22,CDU,C-102,Work at Height,Mechanical Maintenance,Compressor abnormal vibration had been reported three times,False,False,False,True,1,Unsafe act,Equipment damage,Medium,Implement permanent corrective action,In Progress,0,01_Repeated_Issue_Ignored
01_R-059,2024-12-30,FCC,P-101,Confined Space,Instrumentation,Bearing temperature had repeatedly been reported as abnormal,False,False,False,True,0,Procedure not followed,Fire,Medium,Implement permanent corrective action,In Progress,0,01_Repeated_Issue_Ignored
01_R-060,2024-04-06,CDU,GD-22,Inspection,Mechanical Maintenance,Compressor abnormal vibration had been reported three times,False,False,False,True,1,Unsafe condition,Minor injury,Low,Increase supervisory monitoring,Overdue,0,01_Repeated_Issue_Ignored
01_R-061,2025-01-16,CDU,P-204,Inspection,Contractor,Valve leakage had repeatedly been treated only with temporary packing adjustment,False,False,False,True,4,Deferred maintenance,Minor injury,Medium,Increase supervisory monitoring,In Progress,0,01_Repeated_Issue_Ignored
01_R-062,2024-04-04,FCC,CDU-LINE-14,Confined Space,Contractor,Compressor abnormal vibration had been reported three times,False,False,False,True,0,Deferred maintenance,Minor injury,High,Review permit and JSA,Open,0,01_Repeated_Issue_Ignored
01_R-063,2025-01-26,Hydrotreating Unit,C-204,Material Handling,Mechanical Maintenance,Gas detector abnormal readings had generated repeated reports,False,False,False,True,2,Unsafe act,Lost-time injury,Medium,Escalate recurring issue to HSE and management,In Progress,0,01_Repeated_Issue_Ignored
01_R-064,2025-10-24,VDU,C-204,Confined Space,Mechanical Maintenance,Oil accumulation near pump had generated repeated housekeeping complaints,False,False,False,True,3,Deferred maintenance,Minor injury,High,Repair/replace defective equipment,In Progress,0,01_Repeated_Issue_Ignored
01_R-065,2025-10-07,Tank Farm,V-110,Work at Height,Instrumentation,Emergency shower low pressure had been reported repeatedly,False,False,False,True,2,Inadequate supervision,Equipment damage,High,Repair/replace defective equipment,Open,0,01_Repeated_Issue_Ignored
01_R-066,2024-11-22,Loading Bay,V-110,Inspection,Mechanical Maintenance,Pump leakage had been reported twice previously,False,False,False,True,2,Unsafe act,Hydrocarbon release,Low,Repair/replace defective equipment,In Progress,0,01_Repeated_Issue_Ignored
01_R-067,2024-09-29,FCC,P-305,Inspection,HSE,Poor lighting had been reported repeatedly,False,False,False,True,4,Inadequate supervision,Fire,High,Increase supervisory monitoring,Closed,0,01_Repeated_Issue_Ignored
01_R-068,2026-07-24,Hydrogen Unit,GD-22,Material Handling,HSE,Loose flange had been reported during two previous rounds,False,False,False,True,4,Inadequate supervision,Equipment damage,Medium,Repair/replace defective equipment,Overdue,0,01_Repeated_Issue_Ignored
01_R-069,2024-02-08,Loading Bay,E-101,Routine Operation,Electrical Maintenance,Pump leakage had been reported twice previously,False,False,False,True,1,Procedure not followed,Minor injury,Medium,Repair/replace defective equipment,In Progress,0,01_Repeated_Issue_Ignored
01_R-070,2024-12-14,Maintenance Area,TK-302,Breakdown Maintenance,Operations,Loose flange had been reported during two previous rounds,False,False,False,True,0,Corrective action not closed,Lost-time injury,Low,Escalate recurring issue to HSE and management,Closed,0,01_Repeated_Issue_Ignored
01_R-071,2024-03-15,Hydrotreating Unit,V-110,Breakdown Maintenance,Mechanical Maintenance,Emergency shower low pressure had been reported repeatedly,False,False,False,True,4,Equipment degradation,Fire,Low,Review permit and JSA,Overdue,0,01_Repeated_Issue_Ignored
01_R-072,2025-10-26,Maintenance Area,GD-22,Breakdown Maintenance,Instrumentation,Gas detector abnormal readings had generated repeated reports,False,False,False,True,4,Inadequate supervision,Lost-time injury,Medium,Implement permanent corrective action,Closed,0,01_Repeated_Issue_Ignored
01_R-073,2024-05-10,CDU,P-305,Work at Height,HSE,Pump leakage had been reported twice previously,False,False,False,True,4,Unsafe condition,Equipment damage,High,Implement permanent corrective action,Open,0,01_Repeated_Issue_Ignored
01_R-074,2026-08-17,Sulfur Recovery Unit,V-110,Breakdown Maintenance,Contractor,Gas detector abnormal readings had generated repeated reports,False,False,False,True,2,Unsafe act,Lost-time injury,Low,Increase supervisory monitoring,Closed,0,01_Repeated_Issue_Ignored
01_R-075,2025-04-02,Sulfur Recovery Unit,C-204,Preventive Maintenance,Contractor,Pipeline corrosion had appeared in two previous inspections,False,False,False,True,1,Unsafe act,Minor injury,Medium,Stop work and enforce PPE,Overdue,0,01_Repeated_Issue_Ignored
05_2-001,2025-03-24,Loading Bay,V-215,Preventive Maintenance,Instrumentation,Worker worked at height without connecting safety harness | Repeated contractor PPE violations were not escalated,True,True,False,False,1,Corrective action not closed,Fire,High,Increase supervisory monitoring,In Progress,0,05_2Factor_1
05_2-002,2024-06-15,Hydrotreating Unit,P-204,Preventive Maintenance,Electrical Maintenance,Technician performed grinding without face shield | Supervisor observed missing PPE but allowed work to continue,True,True,False,False,1,Unsafe condition,Fire,Low,Review permit and JSA,In Progress,0,05_2Factor_1
05_2-003,2026-01-19,Utilities,FCC-LINE-08,Breakdown Maintenance,HSE,Worker removed gloves during maintenance and continued work | Hot work continued before required gas test was completed,True,True,False,False,1,Deferred maintenance,Minor injury,High,Repair/replace defective equipment,Open,0,05_2Factor_1
05_2-004,2024-04-13,Hydrotreating Unit,C-102,Preventive Maintenance,Operations,Maintenance worker handled chemical line without chemical-resistant gloves | Welding continued near hydrocarbon equipment without adequate controls,True,True,False,False,1,Deferred maintenance,Fire,Medium,Escalate recurring issue to HSE and management,Overdue,0,05_2Factor_1
05_2-005,2024-06-06,Maintenance Area,E-101,Inspection,Operations,Worker entered noisy compressor area without hearing protection | Supervisor observed missing PPE but allowed work to continue,True,True,False,False,1,Unsafe act,Fire,Low,Repair/replace defective equipment,In Progress,0,05_2Factor_1
05_2-006,2025-10-15,Tank Farm,E-101,Hot Work,Operations,Technician performed grinding without face shield | Work continued after permit expiry,True,True,False,False,0,Equipment degradation,Hydrocarbon release,Medium,Escalate recurring issue to HSE and management,Overdue,0,05_2Factor_1
05_2-007,2024-07-08,Hydrotreating Unit,E-101,Material Handling,Electrical Maintenance,Contractor used damaged safety shoes | Lifting operation continued despite unsafe weather conditions,True,True,False,False,0,Unsafe condition,Minor injury,High,Increase supervisory monitoring,Closed,0,05_2Factor_1
05_2-008,2025-07-31,Utilities,PSV-114,Inspection,HSE,Worker worked at height without connecting safety harness | Hot work continued before required gas test was completed,True,True,False,False,0,Unsafe act,Equipment damage,Medium,Increase supervisory monitoring,Overdue,0,05_2Factor_1
05_2-009,2026-04-18,Hydrotreating Unit,P-204,Confined Space,Contractor,Worker removed gloves during maintenance and continued work | Work continued after permit expiry,True,True,False,False,2,Unsafe act,Hydrocarbon release,Medium,Escalate recurring issue to HSE and management,In Progress,0,05_2Factor_1
05_2-010,2024-05-03,CDU,V-215,Preventive Maintenance,Contractor,Worker worked at height without connecting safety harness | Maintenance continued without confirmed isolation,True,True,False,False,0,Deferred maintenance,Lost-time injury,Medium,Repair/replace defective equipment,In Progress,0,05_2Factor_1
05_2-011,2026-05-04,Utilities,E-207,Work at Height,Electrical Maintenance,Worker entered noisy compressor area without hearing protection | Hot work continued before required gas test was completed,True,True,False,False,0,Procedure not followed,Equipment damage,High,Review permit and JSA,Open,0,05_2Factor_1
05_2-012,2026-03-16,Maintenance Area,CDU-LINE-14,Preventive Maintenance,Operations,Technician performed grinding without face shield | Repeated contractor PPE violations were not escalated,True,True,False,False,0,Procedure not followed,Equipment damage,Medium,Increase supervisory monitoring,Open,0,05_2Factor_1
05_2-013,2026-03-15,Tank Farm,CDU-LINE-14,Material Handling,Operations,Worker removed gloves during maintenance and continued work | Lifting operation continued despite unsafe weather conditions,True,True,False,False,1,Unsafe condition,Hydrocarbon release,Medium,Complete overdue inspection,Overdue,0,05_2Factor_1
05_2-014,2024-05-27,Tank Farm,C-204,Work at Height,Operations,Worker entered process area without safety helmet | Repeated contractor PPE violations were not escalated,True,True,False,False,1,Inadequate supervision,Minor injury,Medium,Increase supervisory monitoring,Closed,0,05_2Factor_1
05_2-015,2024-11-14,Tank Farm,PSV-114,Work at Height,Electrical Maintenance,Worker selected unsuitable respiratory protection for task | Hot work continued before required gas test was completed,True,True,False,False,0,Equipment degradation,Fire,Medium,Review permit and JSA,Open,0,05_2Factor_1
05_2-016,2024-07-11,Sulfur Recovery Unit,GD-22,Routine Operation,HSE,Maintenance worker handled chemical line without chemical-resistant gloves | Repeated contractor PPE violations were not escalated,True,True,False,False,2,Corrective action not closed,Equipment damage,High,Repair/replace defective equipment,Open,0,05_2Factor_1
05_2-017,2024-11-14,Hydrogen Unit,GD-22,Inspection,Operations,Worker worked at height without connecting safety harness | Minor leakage was observed but work was allowed to continue,True,True,False,False,2,Unsafe condition,Lost-time injury,Low,Stop work and enforce PPE,Overdue,0,05_2Factor_1
05_2-018,2024-02-21,Utilities,FCC-LINE-08,Preventive Maintenance,Contractor,Maintenance worker handled chemical line without chemical-resistant gloves | Confined-space work continued without continuous attendant supervision,True,True,False,False,1,Unsafe act,Equipment damage,High,Repair/replace defective equipment,Closed,0,05_2Factor_1
05_2-019,2025-05-15,FCC,GD-22,Hot Work,Contractor,Worker worked at height without connecting safety harness | Work continued after permit expiry,True,True,False,False,2,Corrective action not closed,Fire,Medium,Implement permanent corrective action,Open,0,05_2Factor_1
05_2-020,2024-10-18,Hydrogen Unit,FCC-LINE-08,Inspection,Electrical Maintenance,Contractor used damaged safety shoes | Supervisor observed missing PPE but allowed work to continue,True,True,False,False,0,Equipment degradation,Lost-time injury,Medium,Review permit and JSA,Open,0,05_2Factor_1
05_2-021,2026-06-04,CDU,C-102,Hot Work,HSE,Worker selected unsuitable respiratory protection for task | Maintenance continued without confirmed isolation,True,True,False,False,2,Corrective action not closed,Equipment damage,Medium,Complete overdue inspection,Closed,0,05_2Factor_1
05_2-022,2025-03-09,Hydrotreating Unit,FCC-LINE-08,Confined Space,HSE,Worker entered noisy compressor area without hearing protection | Work continued after permit expiry,True,True,False,False,1,Unsafe act,Hydrocarbon release,Medium,Stop work and enforce PPE,Closed,0,05_2Factor_1
05_2-023,2025-07-28,Hydrotreating Unit,FCC-LINE-08,Work at Height,Electrical Maintenance,Welder worked without fire-resistant clothing | Hot work continued before required gas test was completed,True,True,False,False,1,Inadequate supervision,Fire,Low,Implement permanent corrective action,Closed,0,05_2Factor_1
05_2-024,2024-07-11,FCC,TK-302,Routine Operation,Contractor,Worker removed gloves during maintenance and continued work | Welding continued near hydrocarbon equipment without adequate controls,True,True,False,False,0,Deferred maintenance,Fire,High,Complete overdue inspection,Closed,0,05_2Factor_1
05_2-025,2026-07-17,Maintenance Area,GD-22,Inspection,Electrical Maintenance,Contractor used damaged safety shoes | Repeated contractor PPE violations were not escalated,True,True,False,False,2,Equipment degradation,Equipment damage,Low,Implement permanent corrective action,In Progress,0,05_2Factor_1
05_2-026,2025-12-03,FCC,C-204,Preventive Maintenance,Instrumentation,Worker entered noisy compressor area without hearing protection | Minor leakage was observed but work was allowed to continue,True,True,False,False,1,Unsafe condition,Equipment damage,Medium,Implement permanent corrective action,Closed,0,05_2Factor_1
05_2-027,2026-01-12,Hydrotreating Unit,V-215,Work at Height,Electrical Maintenance,Worker entered noisy compressor area without hearing protection | Hot work continued before required gas test was completed,True,True,False,False,0,Inadequate supervision,Lost-time injury,Medium,Escalate recurring issue to HSE and management,Closed,0,05_2Factor_1
05_2-028,2025-04-19,Hydrogen Unit,E-207,Preventive Maintenance,Contractor,Worker selected unsuitable respiratory protection for task | Supervisor observed missing PPE but allowed work to continue,True,True,False,False,2,Deferred maintenance,Hydrocarbon release,Low,Escalate recurring issue to HSE and management,Closed,0,05_2Factor_1
05_2-029,2025-02-27,Maintenance Area,E-101,Breakdown Maintenance,Electrical Maintenance,Worker worked at height without connecting safety harness | Maintenance continued without confirmed isolation,True,True,False,False,0,Corrective action not closed,Hydrocarbon release,Medium,Implement permanent corrective action,In Progress,0,05_2Factor_1
05_2-030,2026-03-08,CDU,P-101,Material Handling,Electrical Maintenance,Worker selected unsuitable respiratory protection for task | Lifting operation continued despite unsafe weather conditions,True,True,False,False,2,Unsafe condition,Fire,Medium,Increase supervisory monitoring,In Progress,0,05_2Factor_1
05_2-031,2025-08-13,Utilities,V-215,Material Handling,Instrumentation,Worker selected unsuitable respiratory protection for task | Hot work continued before required gas test was completed,True,True,False,False,0,Unsafe act,Hydrocarbon release,High,Stop work and enforce PPE,In Progress,0,05_2Factor_1
05_2-032,2026-01-18,CDU,FCC-LINE-08,Inspection,Mechanical Maintenance,Worker entered process area without safety helmet | Lifting operation continued despite unsafe weather conditions,True,True,False,False,2,Equipment degradation,Minor injury,Medium,Complete overdue inspection,Closed,0,05_2Factor_1
05_2-033,2024-05-12,VDU,GD-22,Routine Operation,Electrical Maintenance,Contractor used damaged safety shoes | Minor leakage was observed but work was allowed to continue,True,True,False,False,2,Inadequate supervision,Lost-time injury,Medium,Review permit and JSA,Closed,0,05_2Factor_1
05_2-034,2025-03-20,Utilities,P-101,Inspection,Mechanical Maintenance,Worker entered noisy compressor area without hearing protection | Work continued after permit expiry,True,True,False,False,1,Equipment degradation,Lost-time injury,Medium,Repair/replace defective equipment,In Progress,0,05_2Factor_1
05_2-035,2026-01-21,CDU,V-215,Hot Work,HSE,Worker bypassed mandatory PPE because task was considered short | Minor leakage was observed but work was allowed to continue,True,True,False,False,0,Procedure not followed,Fire,Low,Stop work and enforce PPE,Open,0,05_2Factor_1
05_2-036,2025-11-08,Tank Farm,V-215,Preventive Maintenance,HSE,Worker entered process area without safety helmet | Supervisor observed missing PPE but allowed work to continue,True,True,False,False,2,Inadequate supervision,Hydrocarbon release,Low,Review permit and JSA,In Progress,0,05_2Factor_1
05_2-037,2024-07-29,Hydrotreating Unit,CDU-LINE-14,Breakdown Maintenance,Instrumentation,Welder worked without fire-resistant clothing | Repeated contractor PPE violations were not escalated,True,True,False,False,2,Corrective action not closed,Equipment damage,Low,Stop work and enforce PPE,Open,0,05_2Factor_1
05_2-038,2024-10-16,Loading Bay,C-102,Work at Height,Contractor,Technician performed grinding without face shield | Work continued after permit expiry,True,True,False,False,0,Deferred maintenance,Fire,Medium,Complete overdue inspection,In Progress,0,05_2Factor_1
05_2-039,2024-02-10,CDU,FCC-LINE-08,Preventive Maintenance,Operations,Maintenance worker handled chemical line without chemical-resistant gloves | Work continued after permit expiry,True,True,False,False,1,Corrective action not closed,Minor injury,Medium,Escalate recurring issue to HSE and management,Overdue,0,05_2Factor_1
05_2-040,2024-06-01,Hydrogen Unit,E-101,Hot Work,Electrical Maintenance,Worker removed gloves during maintenance and continued work | Hot work continued before required gas test was completed,True,True,False,False,2,Deferred maintenance,Fire,Low,Stop work and enforce PPE,Open,0,05_2Factor_1
05_2-041,2026-04-12,VDU,P-204,Routine Operation,Operations,Worker entered process area without safety helmet | Confined-space work continued without continuous attendant supervision,True,True,False,False,1,Corrective action not closed,Hydrocarbon release,Medium,Repair/replace defective equipment,In Progress,0,05_2Factor_1
05_2-042,2024-12-02,Sulfur Recovery Unit,P-305,Preventive Maintenance,Instrumentation,Worker selected unsuitable respiratory protection for task | Abnormal equipment vibration was reported but operation continued,True,True,False,False,1,Deferred maintenance,Fire,Low,Review permit and JSA,Closed,0,05_2Factor_1
